h3_cell,lat,lng,visit_count,resolution,country
08a64820826c7fff,19.11821874342957,98.78187210098882,1,10,Thailand
08a6482082cdffff,19.11051804390172,98.79481785776875,1,10,Thailand
08a6482082d9ffff,19.10891095704209,98.8008085286973,1,10,Thailand
08a64820b2ba7fff,19.094553045612862,98.85336662998576,1,10,Thailand
08a64820b341ffff,19.10490241403368,98.83520795169751,1,10,Thailand
08a64820b6587fff,19.09329549574649,98.88119317094032,1,10,Thailand
08a648211a057fff,18.88796803184953,98.83293257446198,1,10,Thailand
08a648211a077fff,18.886816254988293,98.83351116686705,1,10,Thailand
08a648211a0c7fff,18.890157220122006,98.83312721143206,2,10,Thailand
08a648211a0dffff,18.891308976400026,98.83254861105111,2,10,Thailand
08a648211a0effff,18.88911980063205,98.83235397725734,1,10,Thailand
08a648211a147fff,18.884512677034454,98.83466833727819,1,10,Thailand
08a648211a15ffff,18.885664470049534,98.83408975447246,1,10,Thailand
08a648211a407fff,18.89500099146246,98.8410489705501,1,10,Thailand
08a648211a40ffff,18.895115391235276,98.8396971327856,1,10,Thailand
08a648211a417fff,18.896038330848867,98.84182223793565,1,10,Thailand
08a648211a41ffff,18.896152736573107,98.84047039756645,1,10,Thailand
08a648211a42ffff,18.89396364169675,98.84027570739484,1,10,Thailand
08a648211a437fff,18.894886582084542,98.8424008044922,1,10,Thailand
08a648211a447fff,18.89419241973562,98.83757203325614,2,10,Thailand
08a648211a44ffff,18.894306794347486,98.8362201904582,1,10,Thailand
08a648211a457fff,18.89522978140278,98.83834529120017,2,10,Thailand
08a648211a46ffff,18.89315504769123,98.8367987795436,1,10,Thailand
08a648211a477fff,18.894078035518636,98.83892387223553,1,10,Thailand
08a648211a4a7fff,18.897075659854888,98.84259550955122,1,10,Thailand
08a648211a4effff,18.896381519204105,98.83776670536413,1,10,Thailand
08a648211a58ffff,18.895923915519113,98.84317407448155,1,10,Thailand
08a648211a59ffff,18.896961238572807,98.84394734870047,1,10,Thailand
08a648211a707fff,18.893383775410808,98.83409509534638,1,10,Thailand
08a648211a727fff,18.892232027983834,98.8346736924802,1,10,Thailand
08a648211a72ffff,18.892346381092448,98.83332185108227,2,10,Thailand
08a648211a737fff,18.89326941635349,98.83544693935309,2,10,Thailand
08a648211ad07fff,18.884520479706403,98.84760768743425,1,10,Thailand
08a648211ad27fff,18.883368650186522,98.84818620597486,1,10,Thailand
08a648211ad2ffff,18.883483096067167,98.84683443631563,1,10,Thailand
08a648211ad37fff,18.88440602787437,98.84895945969336,2,10,Thailand
08a648211e68ffff,18.88221681259769,98.84876471971356,1,10,Thailand
08a648211e69ffff,18.883254194707657,98.8495379718041,1,10,Thailand
08a648211e6dffff,18.882445702054948,98.84606118942492,1,10,Thailand
08a6482124007fff,18.735285269402855,98.90308831670212,1,10,Thailand
08a648212401ffff,18.736438084209556,98.90251032610259,1,10,Thailand
08a6482124037fff,18.735170487801778,98.904439303299,1,10,Thailand
08a64821240e7fff,18.736552852718177,98.90115932917078,1,10,Thailand
08a6482124107fff,18.732864827274017,98.90559525718136,1,10,Thailand
08a648212411ffff,18.734017661497752,98.90501728264343,1,10,Thailand
08a6482124127fff,18.731711985131778,98.90617322691274,1,10,Thailand
08a648212488ffff,18.730559135072248,98.9067511918375,1,10,Thailand
08a64821248a7fff,18.72929146811099,98.90868010241452,1,10,Thailand
08a64821248affff,18.729406277096633,98.90732915195561,1,10,Thailand
08a6482124987fff,18.728023776579885,98.9106089913902,1,10,Thailand
08a648212498ffff,18.728138598648464,98.90925805127533,1,10,Thailand
